"SectionName","SectionTimeLimitMinutes","QuestionUniqueID","QuestionNumberInSection","PassageOrSetID","PassageOrSetContent","QuestionPrompt","OptionAText","OptionBText","OptionCText","OptionDText","OptionAValue","OptionBValue","OptionCValue","OptionDValue","CorrectAnswerValue","QuestionType","Topic","SubTopic","DifficultyLevelPredicted","ConceptTested","DetailedTags","IsTITA","SetID","CognitiveSkillLevel","SolutionExplanation"
"Logical Reasoning and Data Interpretation","","CATMOCKDLR001_Q1","1","CATMOCKDLR001_Set1_GlobalCollaboration","The Global Research Collaboration Index (OCI) for five key research nations – Innovatia, Progressa, Erudita, Scientia, and Technologia – was assessed decennially in 2000, 2010, and 2020. The OCI, on a 0-100 scale, reflects a nation's overall engagement in international scientific collaboration. Each nation's OCI is a sum of its collaboration efforts across four primary fields: Quantum Physics (QP), Bio-Engineering (BE), AI & Robotics (AR), and Sustainable Energy (SE). The contribution of each field is expressed as a percentage of that nation's OCI for that year, and these percentages sum to 100% for each nation in each assessment year. OCI values are always integers.
Collaboration Intensity Bands are defined as: Low (OCI 0-25), Medium (OCI 26-50), High (OCI 51-75), Very High (OCI 76-100).
Partial OCI and Field Percentage Data:
Nation	Year	OCI	QP (%)	BE (%)	AR (%)	SE (%)	OCI Band
Innovatia	2000	60	25	30	?	25	High
Innovatia	2010	?	20	25	30	25	High
Innovatia	2020	85	15	?	35	30	Very High
Progressa	2000	40	30	20	30	?	Medium
Progressa	2010	55	?	25	25	25	High
Progressa	2020	65	20	30	?	25	High
Erudita	2000	75	10	40	30	20	?
Erudita	2010	60	15	?	25	25	High
Erudita	2020	50	?	30	20	30	Medium
Scientia	2000	50	40	10	20	30	Medium
Scientia	2010	?	35	15	25	25	Medium
Scientia	2020	30	30	20	?	20	Medium
Technologia	2000	30	20	?	30	30	Medium
Technologia	2010	50	25	25	25	?	Medium
Technologia	2020	70	?	30	20	20	High
Additional Information:
1.	For Innovatia in 2000, the OCI points from AR were 12. For Innovatia in 2020, the OCI points from BE were 17.
2.	Innovatia's OCI in 2010 was 10 points higher than its OCI in 2000.
3.	For Progressa, the percentage contribution of QP to its OCI in 2010 was 25%. The percentage contribution of AR to its OCI in 2020 was also 25%.
4.	Erudita's OCI Band in 2000 was 'High'. The percentage contribution of BE to Erudita's OCI in 2010 was 35%.
5.	Scientia's OCI in 2010 was 5 points lower than its OCI in 2000.
6.	For Technologia, the OCI points from BE in 2000 were 6. The percentage contribution of SE to its OCI in 2010 was 25%.
7.	Across all years, for any given nation, the percentage contribution of any single field to its OCI was always a multiple of 5%, and all OCI values are integers.","What was the OCI for Innovatia in 2010?","65","70","75","80","65","70","75","80","70","MCQ","Data Interpretation","Table Analysis, Logical Deduction","Moderate","Table completion using logical deduction and percentage calculations.","data extraction, clue integration, direct calculation","False","CATMOCKDLR001_Set1_GlobalCollaboration","Analyzing","Innovatia's OCI in 2000 is 60 (given in table). Clue 2 states Innovatia's OCI in 2010 was 10 points higher than its OCI in 2000. So, OCI (Innovatia, 2010) = 60 + 10 = 70."
"Logical Reasoning and Data Interpretation","","CATMOCKDLR001_Q2","2","CATMOCKDLR001_Set1_GlobalCollaboration","The Global Research Collaboration Index (OCI) for five key research nations – Innovatia, Progressa, Erudita, Scientia, and Technologia – was assessed decennially in 2000, 2010, and 2020. The OCI, on a 0-100 scale, reflects a nation's overall engagement in international scientific collaboration. Each nation's OCI is a sum of its collaboration efforts across four primary fields: Quantum Physics (QP), Bio-Engineering (BE), AI & Robotics (AR), and Sustainable Energy (SE). The contribution of each field is expressed as a percentage of that nation's OCI for that year, and these percentages sum to 100% for each nation in each assessment year. OCI values are always integers.
Collaboration Intensity Bands are defined as: Low (OCI 0-25), Medium (OCI 26-50), High (OCI 51-75), Very High (OCI 76-100).
Partial OCI and Field Percentage Data:
Nation	Year	OCI	QP (%)	BE (%)	AR (%)	SE (%)	OCI Band
Innovatia	2000	60	25	30	?	25	High
Innovatia	2010	?	20	25	30	25	High
Innovatia	2020	85	15	?	35	30	Very High
Progressa	2000	40	30	20	30	?	Medium
Progressa	2010	55	?	25	25	25	High
Progressa	2020	65	20	30	?	25	High
Erudita	2000	75	10	40	30	20	?
Erudita	2010	60	15	?	25	25	High
Erudita	2020	50	?	30	20	30	Medium
Scientia	2000	50	40	10	20	30	Medium
Scientia	2010	?	35	15	25	25	Medium
Scientia	2020	30	30	20	?	20	Medium
Technologia	2000	30	20	?	30	30	Medium
Technologia	2010	50	25	25	25	?	Medium
Technologia	2020	70	?	30	20	20	High
Additional Information:
1.	For Innovatia in 2000, the OCI points from AR were 12. For Innovatia in 2020, the OCI points from BE were 17.
2.	Innovatia's OCI in 2010 was 10 points higher than its OCI in 2000.
3.	For Progressa, the percentage contribution of QP to its OCI in 2010 was 25%. The percentage contribution of AR to its OCI in 2020 was also 25%.
4.	Erudita's OCI Band in 2000 was 'High'. The percentage contribution of BE to Erudita's OCI in 2010 was 35%.
5.	Scientia's OCI in 2010 was 5 points lower than its OCI in 2000.
6.	For Technologia, the OCI points from BE in 2000 were 6. The percentage contribution of SE to its OCI in 2010 was 25%.
7.	Across all years, for any given nation, the percentage contribution of any single field to its OCI was always a multiple of 5%, and all OCI values are integers.","What was the percentage contribution of SE to Progressa's OCI in 2020?","20%","25%","30%","15%","20%","25%","30%","15%","25%","MCQ","Data Interpretation","Table Analysis, Percentage Calculation","Moderate","Table completion using logical deduction and percentage calculations.","clue interpretation, percentage calculation, sum to 100%","False","CATMOCKDLR001_Set1_GlobalCollaboration","Analyzing","For Progressa in 2020, the OCI is 65 (given). The table provides QP=20% and BE=30%. Clue 3 states that the percentage contribution of AR to its OCI in 2020 was 25%. Since the percentages must sum to 100%, SE% = 100% - (20% + 30% + 25%) = 100% - 75% = 25%."
"Logical Reasoning and Data Interpretation","","CATMOCKDLR001_Q3","3","CATMOCKDLR001_Set1_GlobalCollaboration","The Global Research Collaboration Index (OCI) for five key research nations – Innovatia, Progressa, Erudita, Scientia, and Technologia – was assessed decennially in 2000, 2010, and 2020. The OCI, on a 0-100 scale, reflects a nation's overall engagement in international scientific collaboration. Each nation's OCI is a sum of its collaboration efforts across four primary fields: Quantum Physics (QP), Bio-Engineering (BE), AI & Robotics (AR), and Sustainable Energy (SE). The contribution of each field is expressed as a percentage of that nation's OCI for that year, and these percentages sum to 100% for each nation in each assessment year. OCI values are always integers.
Collaboration Intensity Bands are defined as: Low (OCI 0-25), Medium (OCI 26-50), High (OCI 51-75), Very High (OCI 76-100).
Partial OCI and Field Percentage Data:
Nation	Year	OCI	QP (%)	BE (%)	AR (%)	SE (%)	OCI Band
Innovatia	2000	60	25	30	?	25	High
Innovatia	2010	?	20	25	30	25	High
Innovatia	2020	85	15	?	35	30	Very High
Progressa	2000	40	30	20	30	?	Medium
Progressa	2010	55	?	25	25	25	High
Progressa	2020	65	20	30	?	25	High
Erudita	2000	75	10	40	30	20	?
Erudita	2010	60	15	?	25	25	High
Erudita	2020	50	?	30	20	30	Medium
Scientia	2000	50	40	10	20	30	Medium
Scientia	2010	?	35	15	25	25	Medium
Scientia	2020	30	30	20	?	20	Medium
Technologia	2000	30	20	?	30	30	Medium
Technologia	2010	50	25	25	25	?	Medium
Technologia	2020	70	?	30	20	20	High
Additional Information:
1.	For Innovatia in 2000, the OCI points from AR were 12. For Innovatia in 2020, the OCI points from BE were 17.
2.	Innovatia's OCI in 2010 was 10 points higher than its OCI in 2000.
3.	For Progressa, the percentage contribution of QP to its OCI in 2010 was 25%. The percentage contribution of AR to its OCI in 2020 was also 25%.
4.	Erudita's OCI Band in 2000 was 'High'. The percentage contribution of BE to Erudita's OCI in 2010 was 35%.
5.	Scientia's OCI in 2010 was 5 points lower than its OCI in 2000.
6.	For Technologia, the OCI points from BE in 2000 were 6. The percentage contribution of SE to its OCI in 2010 was 25%.
7.	Across all years, for any given nation, the percentage contribution of any single field to its OCI was always a multiple of 5%, and all OCI values are integers.","In 2020, which nation had the highest OCI points attributed to Sustainable Energy (SE)?","Innovatia","Progressa","Erudita","Technologia","Innovatia","Progressa","Erudita","Technologia","Innovatia","MCQ","Data Interpretation","Table Analysis, Comparative Analysis","Moderate","Table completion using logical deduction and percentage calculations.","derived value calculation, comparison across entities","False","CATMOCKDLR001_Set1_GlobalCollaboration","Analyzing","We need to calculate the OCI points from Sustainable Energy (SE) for each nation in 2020. SE OCI points = Total OCI * SE%.
Innovatia: 85 * 0.30 = 25.5
Progressa: 65 * 0.25 = 16.25
Erudita: 50 * 0.30 = 15
Scientia: 30 * 0.20 = 6
Technologia: 70 * 0.20 = 14
Comparing these values, Innovatia (25.5 points) had the highest OCI points attributed to SE in 2020."
"Logical Reasoning and Data Interpretation","","CATMOCKDLR001_Q4","4","CATMOCKDLR001_Set1_GlobalCollaboration","The Global Research Collaboration Index (OCI) for five key research nations – Innovatia, Progressa, Erudita, Scientia, and Technologia – was assessed decennially in 2000, 2010, and 2020. The OCI, on a 0-100 scale, reflects a nation's overall engagement in international scientific collaboration. Each nation's OCI is a sum of its collaboration efforts across four primary fields: Quantum Physics (QP), Bio-Engineering (BE), AI & Robotics (AR), and Sustainable Energy (SE). The contribution of each field is expressed as a percentage of that nation's OCI for that year, and these percentages sum to 100% for each nation in each assessment year. OCI values are always integers.
Collaboration Intensity Bands are defined as: Low (OCI 0-25), Medium (OCI 26-50), High (OCI 51-75), Very High (OCI 76-100).
Partial OCI and Field Percentage Data:
Nation	Year	OCI	QP (%)	BE (%)	AR (%)	SE (%)	OCI Band
Innovatia	2000	60	25	30	?	25	High
Innovatia	2010	?	20	25	30	25	High
Innovatia	2020	85	15	?	35	30	Very High
Progressa	2000	40	30	20	30	?	Medium
Progressa	2010	55	?	25	25	25	High
Progressa	2020	65	20	30	?	25	High
Erudita	2000	75	10	40	30	20	?
Erudita	2010	60	15	?	25	25	High
Erudita	2020	50	?	30	20	30	Medium
Scientia	2000	50	40	10	20	30	Medium
Scientia	2010	?	35	15	25	25	Medium
Scientia	2020	30	30	20	?	20	Medium
Technologia	2000	30	20	?	30	30	Medium
Technologia	2010	50	25	25	25	?	Medium
Technologia	2020	70	?	30	20	20	High
Additional Information:
1.	For Innovatia in 2000, the OCI points from AR were 12. For Innovatia in 2020, the OCI points from BE were 17.
2.	Innovatia's OCI in 2010 was 10 points higher than its OCI in 2000.
3.	For Progressa, the percentage contribution of QP to its OCI in 2010 was 25%. The percentage contribution of AR to its OCI in 2020 was also 25%.
4.	Erudita's OCI Band in 2000 was 'High'. The percentage contribution of BE to Erudita's OCI in 2010 was 35%.
5.	Scientia's OCI in 2010 was 5 points lower than its OCI in 2000.
6.	For Technologia, the OCI points from BE in 2000 were 6. The percentage contribution of SE to its OCI in 2010 was 25%.
7.	Across all years, for any given nation, the percentage contribution of any single field to its OCI was always a multiple of 5%, and all OCI values are integers.","For Erudita, what was the absolute difference in OCI points attributed to Quantum Physics (QP) between 2000 and 2020?","1.5","2.0","2.5","3.0","1.5","2.0","2.5","3.0","2.5","MCQ","Data Interpretation","Table Analysis, Absolute Difference","Moderate","Table completion using logical deduction and percentage calculations.","multi-step calculation, data extraction","False","CATMOCKDLR001_Set1_GlobalCollaboration","Analyzing","For Erudita in 2000: OCI = 75, QP% = 10%. QP points = 75 * 0.10 = 7.5.
For Erudita in 2020: OCI = 50. From our filled table, QP% = 20%. QP points = 50 * 0.20 = 10.
The absolute difference in OCI points attributed to QP between 2000 and 2020 is |10 - 7.5| = 2.5."
"Logical Reasoning and Data Interpretation","","CATMOCKDLR001_Q5","5","CATMOCKDLR001_Set1_GlobalCollaboration","The Global Research Collaboration Index (OCI) for five key research nations – Innovatia, Progressa, Erudita, Scientia, and Technologia – was assessed decennially in 2000, 2010, and 2020. The OCI, on a 0-100 scale, reflects a nation's overall engagement in international scientific collaboration. Each nation's OCI is a sum of its collaboration efforts across four primary fields: Quantum Physics (QP), Bio-Engineering (BE), AI & Robotics (AR), and Sustainable Energy (SE). The contribution of each field is expressed as a percentage of that nation's OCI for that year, and these percentages sum to 100% for each nation in each assessment year. OCI values are always integers.
Collaboration Intensity Bands are defined as: Low (OCI 0-25), Medium (OCI 26-50), High (OCI 51-75), Very High (OCI 76-100).
Partial OCI and Field Percentage Data:
Nation	Year	OCI	QP (%)	BE (%)	AR (%)	SE (%)	OCI Band
Innovatia	2000	60	25	30	?	25	High
Innovatia	2010	?	20	25	30	25	High
Innovatia	2020	85	15	?	35	30	Very High
Progressa	2000	40	30	20	30	?	Medium
Progressa	2010	55	?	25	25	25	High
Progressa	2020	65	20	30	?	25	High
Erudita	2000	75	10	40	30	20	?
Erudita	2010	60	15	?	25	25	High
Erudita	2020	50	?	30	20	30	Medium
Scientia	2000	50	40	10	20	30	Medium
Scientia	2010	?	35	15	25	25	Medium
Scientia	2020	30	30	20	?	20	Medium
Technologia	2000	30	20	?	30	30	Medium
Technologia	2010	50	25	25	25	?	Medium
Technologia	2020	70	?	30	20	20	High
Additional Information:
1.	For Innovatia in 2000, the OCI points from AR were 12. For Innovatia in 2020, the OCI points from BE were 17.
2.	Innovatia's OCI in 2010 was 10 points higher than its OCI in 2000.
3.	For Progressa, the percentage contribution of QP to its OCI in 2010 was 25%. The percentage contribution of AR to its OCI in 2020 was also 25%.
4.	Erudita's OCI Band in 2000 was 'High'. The percentage contribution of BE to Erudita's OCI in 2010 was 35%.
5.	Scientia's OCI in 2010 was 5 points lower than its OCI in 2000.
6.	For Technologia, the OCI points from BE in 2000 were 6. The percentage contribution of SE to its OCI in 2010 was 25%.
7.	Across all years, for any given nation, the percentage contribution of any single field to its OCI was always a multiple of 5%, and all OCI values are integers.","Which of the following groups of nations ALL experienced a continuous increase in their OCI from 2000 to 2010 to 2020?","Innovatia, Erudita","Progressa, Technologia","Innovatia, Progressa, Technologia","Innovatia, Scientia","Innovatia, Erudita","Progressa, Technologia","Innovatia, Progressa, Technologia","Innovatia, Scientia","Innovatia, Progressa, Technologia","MCQ","Data Interpretation","Table Analysis, Trend Analysis","Moderate","Table completion using logical deduction and percentage calculations.","trend identification, comparison across time","False","CATMOCKDLR001_Set1_GlobalCollaboration","Analyzing","We examine the OCI progression for each nation:
Innovatia: 2000 (60) -> 2010 (70) -> 2020 (85). This is a continuous increase.
Progressa: 2000 (40) -> 2010 (55) -> 2020 (65). This is a continuous increase.
Erudita: 2000 (75) -> 2010 (60) -> 2020 (50). This is a continuous decrease.
Scientia: 2000 (50) -> 2010 (45) -> 2020 (30). This is a continuous decrease.
Technologia: 2000 (30) -> 2010 (50) -> 2020 (70). This is a continuous increase.
Thus, Innovatia, Progressa, and Technologia all experienced a continuous increase in their OCI."
"Logical Reasoning and Data Interpretation","","CATMOCKDLR001_Q6","6","CATMOCKDLR001_Set2_SmartCityRPS","Four city districts – Aerilon (A), Brynn (B), Cygnus (C), and Solara (S) – receive daily allocations of smart city resources. The allocation is quantified by a ""Resource Priority Score"" (RPS), an integer from 0 to 4, assigned to each district each day from Monday (Mon) to Friday (Fri). The total RPS for the entire city (sum of RPS for A, B, C, S) on any given day cannot exceed 10.
Partial RPS Data:
District	Mon	Tue	Wed	Thu	Fri	Total RPS (Week)
Aerilon	3	A1	4	1	A2	10
Brynn	B1	3	0	B2	3	9
Cygnus	2	C1	C2	3	1	10
Solara	4	S1	1	2	S2	13
Total (City)	T1	T2	T3	T4	T5	42
Additional Information:
1.	The city operated at its maximum possible total RPS capacity (10) only on Monday. On all other days, the total city RPS was strictly less than 10 but was always at least 6.
2.	The total city RPS was the same on Tuesday, Wednesday, Thursday, and Friday.
3.	Cygnus and Aerilon never received an RPS of 0 on any day. Brynn received an RPS of 0 on exactly one day (which is shown in the table as Wednesday).
4.	On Tuesday, Brynn's RPS was equal to Solara's RPS. Aerilon's RPS on Tuesday was 1.
5.	The sum of RPS for Aerilon and Cygnus on Wednesday was 7. Brynn's RPS on Thursday was 2.
6.	Solara's RPS on Friday was equal to its RPS on Tuesday.","What was the total city RPS on Thursday?","6","7","8","9","6","7","8","9","8","MCQ","Logical Reasoning","Constraint Satisfaction, Grid Puzzle Logic","Easy","Constraint satisfaction in a grid-based puzzle.","direct deduction from clues, sum constraints","False","CATMOCKDLR001_Set2_SmartCityRPS","Applying","As derived in step 3 of the main solution, the total city RPS on Monday is 10. The total for the week is 42. The totals for Tuesday, Wednesday, Thursday, and Friday are equal (X). So, 10 + 4X = 42, which gives 4X = 32, so X = 8. Thus, the total city RPS on Thursday was 8."
"Logical Reasoning and Data Interpretation","","CATMOCKDLR001_Q7","7","CATMOCKDLR001_Set2_SmartCityRPS","Four city districts – Aerilon (A), Brynn (B), Cygnus (C), and Solara (S) – receive daily allocations of smart city resources. The allocation is quantified by a ""Resource Priority Score"" (RPS), an integer from 0 to 4, assigned to each district each day from Monday (Mon) to Friday (Fri). The total RPS for the entire city (sum of RPS for A, B, C, S) on any given day cannot exceed 10.
Partial RPS Data:
District	Mon	Tue	Wed	Thu	Fri	Total RPS (Week)
Aerilon	3	A1	4	1	A2	10
Brynn	B1	3	0	B2	3	9
Cygnus	2	C1	C2	3	1	10
Solara	4	S1	1	2	S2	13
Total (City)	T1	T2	T3	T4	T5	42
Additional Information:
1.	The city operated at its maximum possible total RPS capacity (10) only on Monday. On all other days, the total city RPS was strictly less than 10 but was always at least 6.
2.	The total city RPS was the same on Tuesday, Wednesday, Thursday, and Friday.
3.	Cygnus and Aerilon never received an RPS of 0 on any day. Brynn received an RPS of 0 on exactly one day (which is shown in the table as Wednesday).
4.	On Tuesday, Brynn's RPS was equal to Solara's RPS. Aerilon's RPS on Tuesday was 1.
5.	The sum of RPS for Aerilon and Cygnus on Wednesday was 7. Brynn's RPS on Thursday was 2.
6.	Solara's RPS on Friday was equal to its RPS on Tuesday.","What was Brynn's RPS on Monday (B1)?","0","1","2","3","0","1","2","3","1","MCQ","Logical Reasoning","Constraint Satisfaction, Grid Puzzle Logic","Moderate","Constraint satisfaction in a grid-based puzzle.","table completion, row sum logic","False","CATMOCKDLR001_Set2_SmartCityRPS","Analyzing","After filling in the grid based on all clues, Brynn's weekly total is 9. The known values for Brynn are Tue=3, Wed=0, Thu=2, Fri=3. So, B1 + 3 + 0 + 2 + 3 = 9. This simplifies to B1 + 8 = 9, which means B1 = 1. Therefore, Brynn's RPS on Monday was 1."
"Logical Reasoning and Data Interpretation","","CATMOCKDLR001_Q8","8","CATMOCKDLR001_Set2_SmartCityRPS","Four city districts – Aerilon (A), Brynn (B), Cygnus (C), and Solara (S) – receive daily allocations of smart city resources. The allocation is quantified by a ""Resource Priority Score"" (RPS), an integer from 0 to 4, assigned to each district each day from Monday (Mon) to Friday (Fri). The total RPS for the entire city (sum of RPS for A, B, C, S) on any given day cannot exceed 10.
Partial RPS Data:
District	Mon	Tue	Wed	Thu	Fri	Total RPS (Week)
Aerilon	3	A1	4	1	A2	10
Brynn	B1	3	0	B2	3	9
Cygnus	2	C1	C2	3	1	10
Solara	4	S1	1	2	S2	13
Total (City)	T1	T2	T3	T4	T5	42
Additional Information:
1.	The city operated at its maximum possible total RPS capacity (10) only on Monday. On all other days, the total city RPS was strictly less than 10 but was always at least 6.
2.	The total city RPS was the same on Tuesday, Wednesday, Thursday, and Friday.
3.	Cygnus and Aerilon never received an RPS of 0 on any day. Brynn received an RPS of 0 on exactly one day (which is shown in the table as Wednesday).
4.	On Tuesday, Brynn's RPS was equal to Solara's RPS. Aerilon's RPS on Tuesday was 1.
5.	The sum of RPS for Aerilon and Cygnus on Wednesday was 7. Brynn's RPS on Thursday was 2.
6.	Solara's RPS on Friday was equal to its RPS on Tuesday.","What was Aerilon's RPS on Friday (A2)?","0","1","2","3","0","1","2","3","1","MCQ","Logical Reasoning","Constraint Satisfaction, Grid Puzzle Logic","Moderate","Constraint satisfaction in a grid-based puzzle.","table completion, row sum logic","False","CATMOCKDLR001_Set2_SmartCityRPS","Analyzing","After filling in the grid based on all clues, Aerilon's weekly total is 10. The known values for Aerilon are Mon=3, Tue=1, Wed=4, Thu=1. So, 3 + 1 + 4 + 1 + A2 = 10. This simplifies to 9 + A2 = 10, which means A2 = 1. Therefore, Aerilon's RPS on Friday was 1."
"Logical Reasoning and Data Interpretation","","CATMOCKDLR001_Q9","9","CATMOCKDLR001_Set2_SmartCityRPS","Four city districts – Aerilon (A), Brynn (B), Cygnus (C), and Solara (S) – receive daily allocations of smart city resources. The allocation is quantified by a ""Resource Priority Score"" (RPS), an integer from 0 to 4, assigned to each district each day from Monday (Mon) to Friday (Fri). The total RPS for the entire city (sum of RPS for A, B, C, S) on any given day cannot exceed 10.
Partial RPS Data:
District	Mon	Tue	Wed	Thu	Fri	Total RPS (Week)
Aerilon	3	A1	4	1	A2	10
Brynn	B1	3	0	B2	3	9
Cygnus	2	C1	C2	3	1	10
Solara	4	S1	1	2	S2	13
Total (City)	T1	T2	T3	T4	T5	42
Additional Information:
1.	The city operated at its maximum possible total RPS capacity (10) only on Monday. On all other days, the total city RPS was strictly less than 10 but was always at least 6.
2.	The total city RPS was the same on Tuesday, Wednesday, Thursday, and Friday.
3.	Cygnus and Aerilon never received an RPS of 0 on any day. Brynn received an RPS of 0 on exactly one day (which is shown in the table as Wednesday).
4.	On Tuesday, Brynn's RPS was equal to Solara's RPS. Aerilon's RPS on Tuesday was 1.
5.	The sum of RPS for Aerilon and Cygnus on Wednesday was 7. Brynn's RPS on Thursday was 2.
6.	Solara's RPS on Friday was equal to its RPS on Tuesday.","On how many days did Solara have an RPS greater than Cygnus's RPS?","1","2","3","4","1","2","3","4","3","MCQ","Logical Reasoning","Constraint Satisfaction, Grid Puzzle Logic","Moderate","Constraint satisfaction in a grid-based puzzle.","cell-wise comparison, completed table analysis","False","CATMOCKDLR001_Set2_SmartCityRPS","Analyzing","We compare Solara's (S) RPS with Cygnus's (C) RPS for each day from the completed table:
Monday: S=4, C=2 (S > C)
Tuesday: S=3, C=1 (S > C)
Wednesday: S=1, C=3 (S < C)
Thursday: S=2, C=3 (S < C)
Friday: S=3, C=1 (S > C)
Solara had a greater RPS than Cygnus on Monday, Tuesday, and Friday, which is 3 days."
"Logical Reasoning and Data Interpretation","","CATMOCKDLR001_Q10","10","CATMOCKDLR001_Set3_ProjectPerformance","Five distinct projects (P1 to P5) were undertaken by teams at Innovate University. Each project team consisted of exactly three students. Each project was evaluated on two criteria: Innovation Score (IS) and Execution Score (ES), both integers out of 50. The Project Impact Score (PIS) for a project is the sum of its IS and ES. PIS scores are categorized as: High (>80), Medium (61-80 inclusive), or Low (<=60). All IS and ES values are positive integers.
Partial Score Data:
Project	IS	ES	PIS	PIS Category
P1	40	E1	P1S	?
P2	I2	E2	P2S	Medium
P3	45	E3	P3S	?
P4	I4	30	55	Low
P5	50	40	P5S	High
Additional Information:
1.	The average Project Impact Score (PIS) across all five projects was 72.
2.	Exactly two projects were categorized as 'High' impact, and exactly two projects were categorized as 'Medium' impact.
3.	For exactly two projects, the Innovation Score (IS) was greater than the Execution Score (ES). One of these was P5.
4.	No project had its IS equal to its ES. All IS and ES values (which are positive integers) across all projects were multiples of 5.
5.	The Execution Score for P1 was 5 points higher than its Innovation Score. The Innovation Score for P2 was 30.
6.	The Project Impact Score for P3 was the same as that for P2.
7.	The Innovation Score for P4 was 25.","What was the Execution Score for Project P1 (E1)?","35","40","45","50","35","40","45","50","45","MCQ","Data Interpretation","Table Analysis, Equation Solving from Clues","Moderate","Logical deduction with arithmetic constraints (sum, average).","sum and average, multi-step deduction, category assignment","False","CATMOCKDLR001_Set3_ProjectPerformance","Analyzing","From the problem table, P1's Innovation Score (IS) is 40. Clue 5 states that the Execution Score for P1 (E1) was 5 points higher than its Innovation Score. So, E1 = 40 + 5 = 45."
