CognitiveSkillLevel,ConceptTested,CorrectAnswerValue,DetailedTags,DifficultyLevelPredicted,IsTITA,OptionAText,OptionAValue,OptionBText,OptionBValue,OptionCText,OptionCValue,OptionDText,OptionDValue,PassageOrSetContent,PassageOrSetID,QuestionNumberInSection,QuestionPrompt,QuestionType,QuestionUniqueID,SectionName,SectionTimeLimitMinutes,SetID,SolutionExplanation,SubTopic,Topic
Analyzing,"Ratio of Income, Expenditure, and Savings",C,"Income_Expenditure_Savings, System_of_Equations",Hard,FALSE,"Rs. 32,000",A,"Rs. 40,000",B,"Rs. 48,000",C,"Rs. 56,000",D,,,1,"The incomes of A and B are in the ratio 3:4 and their expenditures are in the ratio 4:5. A saves 25% of his income. If the total savings of A and B together amount to Rs. 23,250, what is the income of B?",MCQ,Q177,QA,40,MockSet_CAT_QA_004,"Let incomes of A and B be 3k and 4k respectively.
Let expenditures of A and B be 4m and 5m respectively.
A's savings = Income of A - Expenditure of A = 3k - 4m.
A saves 25% of his income, so A's savings = 0.25 × 3k = (3/4)k.
Therefore, 3k - 4m = (3/4)k.
3k - (3/4)k = 4m
(9/4)k = 4m => m = 9k/16.
B's savings = Income of B - Expenditure of B = 4k - 5m.
Substitute m = 9k/16 into B's savings:
B's savings = 4k - 5(9k/16) = 4k - 45k/16 = (64k - 45k)/16 = 19k/16.
Total savings = A's savings + B's savings = (3/4)k + 19k/16 = 12k/16 + 19k/16 = 31k/16.
Given total savings = Rs. 23,250.
31k/16 = 23250.
k = (23250 × 16) / 31 = 750 × 16 = 12000.
Income of B = 4k = 4 × 12000 = Rs. 48,000.
The correct option is (C).","Ratio, Proportion & Variation",Arithmetic
Applying,Volume Conservation in Recasting Solids,8,"Recasting_Solids, Spherical_Shell_Volume",Hard,TRUE,,,,,,,,,,,2,"A metallic spherical shell has an external radius of 10 cm and an internal radius of 6 cm. If this shell is melted and recast into a solid right circular cylinder of height 16 cm, what is the radius of the base of this cylinder in cm? (Answer to the nearest integer)",TITA,Q178,QA,40,MockSet_CAT_QA_004,"External radius, R_ext = 10 cm. Internal radius, R_int = 6 cm.
Volume of the metallic shell, V_shell = (4/3)π(R_ext³ - R_int³)
V_shell = (4/3)π(10³ - 6³) = (4/3)π(1000 - 216) = (4/3)π(784) cm³.
This material is recast into a cylinder of height H_cyl = 16 cm. Let its radius be r_cyl.
Volume of the cylinder, V_cyl = π(r_cyl)²H_cyl = π(r_cyl)²(16).
V_shell = V_cyl.
(4/3)π(784) = π(r_cyl)²(16).
(4/3)(784) = 16(r_cyl)².
(r_cyl)² = (4 × 784) / (3 × 16) = 784 / 12 = 196/3.
r_cyl = √(196/3) = 14/√3 ≈ 14 / 1.732 ≈ 8.08 cm.
To the nearest integer, r_cyl = 8 cm.
The answer is 8.",Mensuration - 3D,Geometry
Analyzing,Time calculation for a faulty clock,D,"Faulty_Clock, Relative_Time",Medium,FALSE,3:45 PM,A,4:00 PM,B,4:15 PM,C,3:33 PM,D,,,3,A clock is set right at 10:00 AM on Monday. The clock loses 15 minutes in every 24 actual hours. What will be the actual time when this clock indicates 3:00 PM on the following Wednesday?,MCQ,Q179,QA,40,MockSet_CAT_QA_004,"The clock loses 15 min in 24 actual hours.
This means 24 hours of actual time correspond to 23 hours 45 minutes (23.75 hours) on the faulty clock.
Ratio of Actual Time / Clock Time = 24 / 23.75 = 24 / (95/4) = 96/95.
The time indicated by the clock is from Monday 10:00 AM to Wednesday 3:00 PM.
Duration = 24 hrs (Mon 10AM to Tue 10AM) + 24 hrs (Tue 10AM to Wed 10AM) + 5 hrs (Wed 10AM to Wed 3PM) = 53 clock hours.
Actual time passed = 53 × (96/95) hours = 5088 / 95 hours.
Performing the division: 5088 ÷ 95 gives a quotient of 53 and a remainder of 53. So, the time passed is 53 and 53/95 hours.
The fractional part is (53/95) hours = (53/95) × 60 minutes ≈ 33.47 minutes.
So, actual time passed is 53 hours and approx. 33 minutes.
Actual time = Monday 10:00 AM + 53 hours 33 minutes.
= Monday 10:00 AM + 48 hours + 5 hours 33 minutes
= Wednesday 10:00 AM + 5 hours 33 minutes = Wednesday 3:33 PM.
The correct option is (D).",Clocks and Calendars,Arithmetic
Applying,Simplification using cubic algebraic identities,20,"Cubic_Identities, Algebraic_Manipulation",Medium,TRUE,,,,,,,,,,,4,"If (x³ + y³ + z³ - 3xyz) / ((x-y)² + (y-z)² + (z-x)²) = 10, and it is known that x+y+z = k, find the value of k.",TITA,Q180,QA,40,MockSet_CAT_QA_004,"The identity for the numerator is: x³ + y³ + z³ - 3xyz = (x+y+z)(x² + y² + z² - xy - yz - zx).
The denominator can be related by: (x-y)² + (y-z)² + (z-x)² = 2(x² + y² + z² - xy - yz - zx).
Let D = (x-y)² + (y-z)² + (z-x)².
Then (x² + y² + z² - xy - yz - zx) = D/2.
Substituting these into the given equation:
[(x+y+z)(D/2)] / D = 10.
(x+y+z)/2 = 10.
x+y+z = 20.
Since x+y+z = k, k = 20.
The answer is 20.",Algebraic Identities,Algebra
Applying,Probability of committee formation with constraints,C,"Combinations, Probability, Committee_Selection",Medium,FALSE,121/252,A,131/252,B,31/42,C,15/42,D,,,5,A committee of 5 members is to be formed from 6 men and 4 women. What is the probability that the committee contains more men than women?,MCQ,Q181,QA,40,MockSet_CAT_QA_004,"Total members = 6 men (M) + 4 women (W) = 10. A committee of 5 is to be formed.
Total ways to form the committee = C(10,5) = (10×9×8×7×6)/(5×4×3×2×1) = 252.
For the committee to have more men than women, the possible compositions (M, W) are:
1. (3M, 2W): C(6,3) × C(4,2) = 20 × 6 = 120 ways.
2. (4M, 1W): C(6,4) × C(4,1) = 15 × 4 = 60 ways.
3. (5M, 0W): C(6,5) × C(4,0) = 6 × 1 = 6 ways.
Total favorable ways = 120 + 60 + 6 = 186.
Probability = Favorable ways / Total ways = 186 / 252.
Dividing numerator and denominator by HCF (6): 186/6 = 31; 252/6 = 42.
Probability = 31/42.
The correct option is (C).",Permutations & Combinations,Modern Maths
Applying,Area of intersecting paths (Inclusion-Exclusion),950,"Area_of_Paths, Inclusion-Exclusion",Medium,TRUE,,,,,,,,,,,6,"A rectangular field is 80 m long and 60 m wide. Three roads, each 5 m wide, are constructed within the field such that two roads are parallel to the breadth and one road is parallel to the length. These roads intersect each other. Find the area of the field covered by the roads in square meters.",TITA,Q182,QA,40,MockSet_CAT_QA_004,"Field dimensions: L=80m, B=60m. Road width: w=5m.
Area of one road parallel to length = L × w = 80 × 5 = 400 m².
Area of two roads parallel to breadth = 2 × (B × w) = 2 × (60 × 5) = 600 m².
Total area of the roads if there were no overlap = 400 + 600 = 1000 m².
The single road parallel to length intersects the two roads parallel to breadth, creating 2 intersection regions.
Area of each intersection = w × w = 5 × 5 = 25 m².
Total overlapping area = 2 × 25 = 50 m².
Area covered by roads = (Sum of road areas) - (Overlapping area) = 1000 - 50 = 950 m².
The answer is 950.",Mensuration - 2D,Geometry
Applying,Effect of new members on average,D,"Change_in_Average, Group_Addition",Medium,FALSE,10,A,12,B,14,C,16,D,,,7,"The average age of a group of N students is 18 years. When two new students, aged 24 years and 30 years, join the group, the average age of the group increases by 1 year. What is the value of N?",MCQ,Q183,QA,40,MockSet_CAT_QA_004,"Initial number of students = N. Initial average age = 18. Initial total age = 18N.
Two new students (ages 24 and 30) join. Sum of their ages = 54.
New number of students = N+2.
New total age = 18N + 54.
New average age = (18N + 54) / (N+2). This is given to be 18+1 = 19.
(18N + 54) / (N+2) = 19.
18N + 54 = 19(N+2) = 19N + 38.
54 - 38 = 19N - 18N => N = 16.
The correct option is (D).",Averages,Arithmetic
Analyzing,Relation between roots of a quadratic equation (Vieta's formulas),A,"Properties_of_Roots, VietaFormulas_AlphaBetaExpressions",Hard,FALSE,-11,A,-20,B,-24,C,-28,D,,,8,The sum of the squares of the roots of the quadratic equation x² - (k-2)x + (k-3) = 0 is 21. What is the product of the possible values of k?,MCQ,Q184,QA,40,MockSet_CAT_QA_004,"For x² - (k-2)x + (k-3) = 0, let the roots be α and β.
Sum of roots: α+β = k-2.
Product of roots: αβ = k-3.
The sum of the squares of the roots is α² + β² = (α+β)² - 2αβ.
α² + β² = (k-2)² - 2(k-3) = (k²-4k+4) - (2k-6) = k²-6k+10.
Given α² + β² = 21.
k²-6k+10 = 21 => k²-6k-11 = 0.
This is a quadratic equation in k. The product of its possible values (k₁k₂) is c/a = -11/1 = -11.
The correct option is (A).",Quadratic Equations,Algebra
Analyzing,Properties of Arithmetic and Geometric Progressions,16,"AP_GP_Mix, System_of_Equations",Hard,TRUE,,,,,,,,,,,9,"Three positive integers a, b, and c are in continued proportion. If a, b+2, c are in Arithmetic Progression and a+b+c = 28, find the value of c, given a < c.",TITA,Q185,QA,40,MockSet_CAT_QA_004,"a, b, c are in continued proportion, so b² = ac.
a, b+2, c are in AP, so 2(b+2) = a+c.
a+b+c = 28.
From the sum equation, substitute a+c = 2(b+2):
(2(b+2)) + b = 28 => 2b+4+b = 28 => 3b = 24 => b=8.
Now find a and c.
a+c = 2(8)+4 = 20.
ac = b² = 8² = 64.
We need two numbers with sum 20 and product 64. The numbers are 4 and 16.
Given a < c, so a=4 and c=16.
The value of c is 16.
The answer is 16.","Sequences & Series (AP, GP, HP, Special Series)",Algebra
Analyzing,Mixtures and Alligation with Profit & Loss,A,"Mixtures_Alligation, Profit_Calculation",Medium,FALSE,"""1:0 (Effectively, only Solution A is used)""",A,"""2:3""",B,"""3:4""",C,"""1:1""",D,,,10,"A milkman mixes two types of milk solutions. Solution A contains 80% milk and Solution B contains 60% milk. He mixes them to create a new solution which he sells at the cost price of pure milk, thereby making a profit of 25% (due to the water content). In what ratio did he mix Solution A and Solution B?",MCQ,Q186,QA,40,MockSet_CAT_QA_004,"Let the cost price (CP) of pure milk be Re 1 per litre.
The cost of Solution A (80% milk) is Re 0.80/litre.
The cost of Solution B (60% milk) is Re 0.60/litre.
The milkman sells the final mixture at the CP of pure milk, so Selling Price (SP) = Re 1/litre.
Profit = 25%.
SP = CP_mixture × 1.25 => 1 = CP_mixture × (5/4) => CP_mixture = 4/5 = Re 0.80/litre.
The cost of the final mixture must be Re 0.80.
Using alligation on the costs:
Cost of A (0.80)     Cost of B (0.60)
         \           /
      Mean Cost (0.80)
         /           \
(0.80 - 0.60)=0.20   (0.80 - 0.80)=0
Ratio of quantity of A : quantity of B = 0.20 : 0 = 1 : 0.
This implies only Solution A is used.
The correct option is (A).","Profit, Loss & Discount",Arithmetic
