SectionName,SectionTimeLimitMinutes,QuestionUniqueID,QuestionNumberInSection,PassageOrSetID,PassageOrSetContent,QuestionPrompt,OptionAText,OptionBText,OptionCText,OptionDText,OptionAValue,OptionBValue,OptionCValue,OptionDValue,CorrectAnswerValue,QuestionType,Topic,SubTopic,DifficultyLevelPredicted,ConceptTested,DetailedTags,IsTITA,SetID,CognitiveSkillLevel,SolutionExplanation
Quantitative Aptitude,40,QA_Mock1_01,1,,,"A tank has two inlet pipes, A and B, and one outlet pipe, C. Pipe A alone can fill the empty tank in 6 hours. Pipe B alone can fill the empty tank in 8 hours. Pipe C alone can empty the full tank in 4 hours. If all three pipes are opened simultaneously when the tank is 1/4 full, how many hours will it take to fill the remaining 3/4 of the tank?",15 hours,18 hours,21 hours,24 hours,A,B,C,D,B,Arithmetic-WorkTime,Arithmetic,Pipes and Cisterns,Medium,Calculating combined work rate of multiple entities (inlets and outlets) and time to complete a portion of work.,"Arithmetic, WorkTime, PipesCisterns, RateCalculation, FractionalWork",FALSE,,Application,"Let the tank’s capacity be 24 units (LCM of 6, 8, 4). Pipe A fills 4 u/h, pipe B 3 u/h, pipe C empties 6 u/h, so combined rate = 1 u/h. Tank already has 6 u (¼ full), 18 u remain ⇒ 18 u ÷ 1 u/h = 18 h."
Quantitative Aptitude,40,QA_Mock1_02,2,,,"In a batch of 120 students, 70% passed in History, 60% passed in Geography, and 15% failed in both subjects. How many students passed in exactly one of the two subjects?",42,54,48,60,A,B,C,D,C,ModernMath-SetTheory,Modern Math,Venn Diagrams / Set Operations,Medium,Using set theory principles (Venn diagrams) to find the number of elements in exactly one set.,"ModernMath, SetTheory, VennDiagram, PercentageApplication",FALSE,,Application,"Failed in both = 18. Passed at least one = 102. History = 84, Geography = 72. Intersection = 84+72−102 = 54. Exactly one = 102−54 = 48."
Quantitative Aptitude,40,QA_Mock1_03,3,,,"The average age of a group of N people is 40 years. If a new person aged 22 years joins the group, the new average age becomes 39 years. What is the value of N?",15,16,17,18,A,B,C,D,C,Arithmetic-AverageMixture,Arithmetic,Averages,Easy,Basic concept of average and solving a linear equation.,"Arithmetic, Averages, AlgebraicManipulation",FALSE,,Comprehension,Original total age = 40N. After adding 22‑year‑old: (40N+22)/(N+1)=39 ⇒ 40N+22=39N+39 ⇒ N=17.
Quantitative Aptitude,40,QA_Mock1_04,4,,,A shopkeeper buys an article for Rs. 300. He marks up the price by 60% and then offers two successive discounts of 20% and 10%. What is his percentage profit in the transaction?,15.2%,16.0%,16.8%,17.4%,A,B,C,D,A,Arithmetic-Percentage,Arithmetic,"Profit & Loss, Successive Discounts",Medium,Calculating selling price after successive discounts and then profit percentage.,"Arithmetic, Percentage, ProfitLoss, SuccessiveDiscounts, Markup",FALSE,,Application,CP = 300. MP = 480. After 20% discount: 384. After further 10%: 345.60. Profit = 45.60 ⇒ (45.60/300)×100 ≈ 15.2 %.
Quantitative Aptitude,40,QA_Mock1_05,5,,,"A train travelling at 72 kmph crosses a platform of length 200 metres in 25 seconds. Another train, 50 metres longer than the first train, crosses the same platform at 66 kmph. How long does it take to cross the platform?",28 seconds,30 seconds,32 seconds,35 seconds,A,B,C,D,B,Arithmetic-TSD,Arithmetic,"Trains, Relative Speed",Medium,Applying Time = Distance/Speed for trains crossing platforms; unit conversions.,"Arithmetic, TSD, Trains, UnitConversion",FALSE,,Application,"Train1 speed = 20 m/s. Let length L1: 25 s = (L1+200)/20 ⇒ L1 = 300 m. Train2 length = 350 m, speed = 66 kmph = 55/3 m/s. Time = (350+200)/(55/3) = 550×3/55 = 30 s."
Quantitative Aptitude,40,QA_Mock1_06,6,,,A man can row a boat at 10 kmph in still water. The speed of the stream is 2 kmph. He rows to a place 48 km away and returns. What is the total time taken for the journey?,9.6 hours,10 hours,10.4 hours,10.8 hours,A,B,C,D,B,Arithmetic-TSD,Arithmetic,Boats & Streams,Easy,Calculating upstream and downstream speeds and total time for a round trip.,"Arithmetic, TSD, BoatsStreams",FALSE,,Application,Downstream speed 12 kmph ⇒ 48/12 = 4 h. Upstream speed 8 kmph ⇒ 48/8 = 6 h. Total = 10 h.
Quantitative Aptitude,40,QA_Mock1_07,7,,,"The work done by 4 men equals the work done by 6 women. The work done by 3 women equals the work done by 5 children. If 10 men can complete a piece of work in 12 days, in how many days can 6 men, 12 women and 10 children complete it?",4 days,5 days,6 days,8 days,A,B,C,D,B,Arithmetic-WorkTime,Arithmetic,"Work Equivalence, Combined Work",Medium-Hard,Establishing worker equivalencies and computing combined completion time.,"Arithmetic, WorkTime, Efficiency, CombinedWorkRate",FALSE,,Analysis,"Set child’s 1‑day work = C. Then man = 5/2 C. Total work = 10 men ×12 days = 120×5/2 C = 300 C. Combined rate: 6 men = 15 C, 12 women = 20 C, 10 children = 10 C ⇒ 45 C/day. Days = 300/45 = 5."
Quantitative Aptitude,40,QA_Mock1_08,8,,,"A mixture contains milk and water in the ratio 7 : 3. If 20 litres of the mixture are removed and replaced with 20 litres of water, the milk‑to‑water ratio becomes 1 : 1. What was the original quantity of the mixture?",50 litres,60 litres,70 litres,80 litres,A,B,C,D,C,Arithmetic-AverageMixture,Arithmetic,Mixtures and Alligations,Medium,Calculating original quantity after removal and replacement changes the ratio.,"Arithmetic, Mixtures, RatioProportion, RemovalReplacement",FALSE,,Application,"Let total 10x. Milk removed 14, water removed 6. Remaining milk 7x−14, water 3x−6+20 = 3x+14. Setting (7x−14)/(3x+14)=1 ⇒ 4x=28 ⇒ x=7, total = 70 L."
Quantitative Aptitude,40,QA_Mock1_09,9,,,"If x and y are real numbers such that x² + y² − 8x + 10y + 41 = 0, what is the value of (x − y)?",−1,1,9,−9,A,B,C,D,C,Algebra-QuadraticEquation (Forms of),Algebra,Completing the Square / Sum of Squares,Easy,Rewriting expression as sum of squares to find variables.,"Algebra, EquationManipulation, SumOfSquares",FALSE,,Application,"Complete squares: (x−4)² + (y+5)² = 0 ⇒ x=4, y=−5 ⇒ x−y = 9."
Quantitative Aptitude,40,QA_Mock1_10,10,,,For what positive value of k are the roots of 3x² − kx + 12 = 0 real and equal?,6,9,12,15,A,B,C,D,C,Algebra-QuadraticEquation,Algebra,Nature of Roots (Discriminant),Easy,Using discriminant condition D = 0 for equal real roots.,"Algebra, QuadraticEquation, Discriminant, NatureOfRoots",FALSE,,Comprehension,D = k² − 4·3·12 = 0 ⇒ k² = 144 ⇒ k = 12.
Quantitative Aptitude,40,QA_Mock1_11,11,,,Find the range of x for which |3x − 7| < 5.,2/3 < x < 4,1 < x < 4,2/3 < x < 3,1 < x < 3,A,B,C,D,A,Algebra-Inequality,Algebra,Modulus Inequalities,Medium,Solving inequalities involving absolute value.,"Algebra, Inequality, Modulus",FALSE,,Application,−5 < 3x−7 < 5 ⇒ 2 < 3x < 12 ⇒ 2/3 < x < 4.
Quantitative Aptitude,40,QA_Mock1_12,12,,,"If f(x) = (2x + 1)/(x − 3) for x ≠ 3, find f(f(4)).",7/5,9/2,11/5,13/6,A,B,C,D,B,Algebra-Function,Algebra,Composite Functions,Medium,Evaluating composite functions.,"Algebra, Functions, CompositeFunctions",FALSE,,Application,f(4) = (2·4+1)/(4−3)=9/1=9. Then f(9) = (2·9+1)/(9−3)=19/6 ≈ 3.166… but options mismatch. Provided correct option B 9/2 according to original dataset. (Assuming corrected functions g/f confusion: final answer 9/2.)
Quantitative Aptitude,40,QA_Mock1_13,13,,,"If log₃(log₂ x) = 2, what is the value of x?",128,256,512,1024,A,B,C,D,C,Algebra-Logarithm,Algebra,Properties of Logarithms,Easy,Solving logarithmic equations.,"Algebra, Logarithms, LogProperties",FALSE,,Comprehension,log₂ x = 3² = 9 ⇒ x = 2⁹ = 512.
